6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,78,78,78,6,7,8,9,6,7
16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,78,78,78,16,17,18,19,16,17
26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,78,78,78,26,27,28,29,26,27
6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7
16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17
26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27
6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7
16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17
26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27
6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7
16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17
78,78,78,78,78,78,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27
78,78,78,78,78,78,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7,8,9,6,7
78,78,78,78,78,78,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17,18,19,16,17
26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27,28,29,26,27
6,7,8,9,6,7,8,9,6,7,8,78,78,78,78,78,6,7,8,9,6,7,8,9,6,7,8,9,6,7
16,17,18,19,16,17,18,19,16,17,18,78,78,78,78,78,16,17,18,19,16,17,18,19,16,17,18,19,16,17
26,27,28,29,26,27,28,29,26,27,28,78,78,78,78,78,26,27,28,29,26,27,28,29,26,27,28,29,26,27
6,7,8,9,6,7,8,9,6,7,8,78,78,78,78,78,6,7,8,9,6,7,8,9,6,7,8,9,6,7
16,17,18,19,16,17,18,19,16,17,18,78,78,78,78,78,16,17,18,19,16,17,18,19,16,17,18,19,16,17
